player,season,team,goals_z,xg_z,crosses_z,boxtouches_z,passes_z,progpasses_z,takeons_z,progruns_z,tackles_z,interceptions_z,clearances_z,blocks_z,aerials_z,fouls_z,fouled_z,nsxg_z
Toby Alderweireld,2014,Belgium,-0.43,-0.51,0.31,-0.8,0.9,0.86,0.05,-0.18,1.42,0.09,0.72,0.88,0.53,0.7,0.46,0.51
Vincent Kompany,2014,Belgium,-0.43,-0.18,-0.54,-0.11,0.91,0.42,-0.43,2.5,0.71,0.72,0.64,0.66,0.53,-0.09,-0.75,-0.26
Anel Hadzic,2014,Bosnia and Herzegovina,-0.43,-0.57,-0.54,-0.45,-0.75,-0.62,-0.68,-0.94,-0.9,-0.12,-0.42,-0.52,-0.81,-0.68,-0.99,-0.51
Asmir Begovic,2014,Bosnia and Herzegovina,-0.43,-0.57,-0.54,-0.8,-0.2,1.88,-0.68,-0.94,-0.9,-0.82,-0.72,-0.52,-0.81,-1.15,-0.99,-0.79
Avdija Vrsajevic,2014,Bosnia and Herzegovina,1.76,-0.31,0.97,0.26,-0.52,-0.54,-0.68,0.19,-0.21,0.58,-0.57,-0.52,-0.41,-0.68,-0.99,0.03
Edin Dzeko,2014,Bosnia and Herzegovina,1.76,2.83,-0.54,4.33,-0.24,-0.77,-0.25,-0.49,-0.3,-0.2,0.03,-0.52,0.78,1.19,1.16,0.62
Edin Visca,2014,Bosnia and Herzegovina,-0.43,-0.37,-0.54,-0.63,-1.26,-1.16,-0.25,-0.49,-0.9,-0.82,-0.72,-0.52,-0.41,-0.68,-0.99,-0.79
Emir Spahic,2014,Bosnia and Herzegovina,-0.43,-0.52,-0.54,1.14,1.69,1.26,-0.25,0.42,2.44,4.45,2.6,4.77,0.78,0.26,0.3,0.27
Ermin Bicakcic,2014,Bosnia and Herzegovina,-0.43,-0.57,-0.54,-0.8,-0.77,-0.54,-0.68,-0.71,-0.9,-0.61,0.34,0.65,-0.01,-1.15,-0.99,-0.79
Haris Medunjanin,2014,Bosnia and Herzegovina,-0.43,-0.34,0.21,-0.63,0.66,0.16,-0.68,-0.03,0.31,-0.61,-0.57,-0.52,-0.81,-0.68,-0.99,0.07
Izet Hajrovic,2014,Bosnia and Herzegovina,-0.43,-0.11,0.21,-0.45,-0.61,-0.7,0.62,0.42,-0.9,-0.82,-0.42,-0.52,-0.81,-0.21,-0.13,0.58
Mensur Mujdza,2014,Bosnia and Herzegovina,-0.43,-0.57,0.97,-0.45,-0.27,0.01,-0.25,-0.49,-0.7,0.01,0.64,-0.52,-0.01,0.73,0.3,0.15
Miralem Pjanic,2014,Bosnia and Herzegovina,1.76,1.01,7.02,0.26,2.93,1.73,4.92,2.01,1.02,1.49,-0.72,-0.52,-0.41,-0.21,2.02,5.22
Muhamed Besic,2014,Bosnia and Herzegovina,-0.43,-0.28,-0.54,-0.8,3.26,1.57,3.63,2.46,3.06,2.55,0.18,1.98,-0.81,3.53,-0.13,-0.2
Ognjen Vranjes,2014,Bosnia and Herzegovina,-0.43,-0.57,0.21,-0.63,-1.14,-1.09,-0.68,-0.49,-0.21,-0.82,-0.27,-0.52,-0.81,-0.68,-0.13,-0.55
Sead Kolasinac,2014,Bosnia and Herzegovina,-0.43,-0.57,-0.54,-0.45,0.56,0.63,1.48,0.42,0.62,0.09,-0.42,-0.52,-0.81,0.73,-0.13,-0.32
Sejad Salihovic,2014,Bosnia and Herzegovina,-0.43,-0.57,0.21,-0.8,-0.89,-0.54,-0.68,-0.26,-0.3,-0.12,-0.72,-0.52,-0.81,-1.15,-0.56,0.19
Senad Lulic,2014,Bosnia and Herzegovina,-0.43,-0.28,-0.54,0.08,-0.15,-0.07,1.05,0.42,-0.09,-0.61,-0.57,-0.52,-0.01,-0.21,-0.56,-0.2
Tino Susic,2014,Bosnia and Herzegovina,-0.43,-0.49,0.97,0.97,-0.06,-0.77,0.62,-0.49,1.08,-0.82,-0.57,1.4,-0.81,-0.21,-0.56,1.16
Toni Sunjic,2014,Bosnia and Herzegovina,-0.43,-0.57,-0.54,-0.63,0.77,0.32,-0.68,-0.26,4.03,1.81,1.55,4.99,-0.41,-0.21,-0.56,-0.79
Vedad Ibisevic,2014,Bosnia and Herzegovina,1.76,0.87,-0.54,1.5,-0.86,-1.09,-0.25,-0.94,-0.9,-0.12,-0.57,-0.52,-0.01,-1.15,-0.56,0.03
Zvjezdan Misimovic,2014,Bosnia and Herzegovina,-0.43,-0.31,0.21,0.08,0.31,-0.23,0.62,0.42,0.12,-0.61,-0.72,-0.52,0.39,-1.15,0.3,1.91
Bernard,2014,Brazil,-0.43,-0.51,0.07,0.14,-0.92,-0.81,-0.32,-0.01,-0.65,-0.68,-0.54,-0.52,-0.81,-0.76,-0.64,-0.28
Dani Alves,2014,Brazil,-0.43,-0.43,0.07,-0.3,0.75,1.23,0.38,0.91,1.63,0.63,0.14,-0.52,-0.16,-0.38,0.06,0.49
Dante,2014,Brazil,-0.43,-0.57,-0.54,-0.8,-0.96,-0.78,-0.68,-0.85,-0.9,-0.4,-0.48,-0.52,-0.81,-0.96,-0.99,-0.79
David Luiz,2014,Brazil,1.36,0.81,0.07,0.21,1.12,0.88,0.73,2.21,0.73,1.69,1.75,1.16,1.15,1.15,0.95,-0.01
Fernandinho,2014,Brazil,0.47,-0.15,-0.54,-0.3,-0.27,-0.33,-0.15,-0.29,1.03,-0.5,-0.29,-0.14,-0.48,1.53,0.24,-0.4
Fred,2014,Brazil,0.47,1.0,-0.54,1.3,-0.77,-1.04,-0.68,-0.94,-0.7,-0.82,-0.35,-0.52,0.33,0.0,0.24,-0.31
Hernanes,2014,Brazil,-0.43,-0.57,-0.54,-0.59,-1.19,-1.07,0.03,-0.57,-0.17,-0.32,-0.66,-0.52,-0.65,-0.38,-0.64,-0.79
Hulk,2014,Brazil,-0.43,0.43,0.38,1.44,-0.76,-0.84,1.61,0.73,-0.33,-0.39,-0.48,-0.52,0.33,0.38,1.47,0.68
Jô,2014,Brazil,-0.43,-0.11,-0.54,0.35,-1.09,-1.1,-0.68,-0.85,-0.9,-0.82,-0.6,0.03,0.49,-0.96,-0.64,-0.58
Júlio César,2014,Brazil,-0.43,-0.57,-0.54,-0.8,-0.24,1.2,-0.5,-0.85,-0.77,-0.82,-0.41,-0.52,-0.81,-0.96,-0.99,-0.79
Luiz Gustavo,2014,Brazil,-0.43,-0.41,-0.23,-0.52,1.0,-0.27,0.03,-0.29,1.28,3.48,0.39,-0.52,1.96,1.73,1.3,-0.48
Maicon,2014,Brazil,-0.43,-0.53,-0.23,-0.59,-0.33,0.15,0.03,0.64,0.3,0.38,-0.23,-0.52,-0.32,-0.76,-0.29,-0.37
Marcelo,2014,Brazil,-0.43,-0.31,-0.23,-0.08,1.27,1.68,1.44,2.77,1.41,1.41,0.02,0.06,-0.48,0.58,1.12,0.49
Maxwell,2014,Brazil,-0.43,-0.55,-0.54,-0.52,-0.99,-0.65,-0.68,-0.57,-0.9,-0.58,-0.35,-0.52,-0.32,-0.96,-0.99,-0.56
Neymar,2014,Brazil,3.15,1.65,2.55,1.44,-0.07,-0.24,2.32,1.29,-0.16,-0.56,-0.72,-0.03,-0.16,0.38,2.18,2.37
Oscar,2014,Brazil,1.36,0.96,1.31,1.51,0.66,0.85,1.44,1.38,3.16,0.82,-0.17,-0.52,0.17,0.58,1.3,1.85
Paulinho,2014,Brazil,-0.43,1.13,-0.54,1.15,-0.48,-0.78,0.2,-0.29,0.44,0.16,-0.41,-0.52,-0.32,0.58,-0.47,0.31
Ramires,2014,Brazil,-0.43,-0.33,-0.54,-0.23,-0.87,-0.91,-0.15,-0.38,-0.06,0.01,-0.48,-0.52,0.01,0.58,0.06,-0.2
Thiago Silva,2014,Brazil,0.47,0.62,-0.54,-0.01,0.81,0.27,-0.68,0.08,-0.13,0.93,2.25,4.08,1.31,-0.19,0.06,-0.34
Willian,2014,Brazil,-0.43,-0.4,-0.23,-0.08,-0.6,-0.68,0.03,-0.11,-0.9,-0.61,-0.66,-0.52,-0.81,-0.57,-0.64,0.41
Alex Song,2014,Cameroon,-0.43,-0.46,0.97,-0.63,-0.27,-0.7,-0.68,0.87,-0.9,-0.82,-0.72,-0.52,-0.81,0.26,0.3,0.34
Allan Nyom,2014,Cameroon,-0.43,-0.46,0.21,-0.27,-0.8,-0.3,-0.25,-0.03,-0.9,-0.52,-0.12,0.29,-0.81,-1.15,-0.56,-0.28
Aurélien Chedjou,2014,Cameroon,-0.43,-0.34,-0.54,-0.27,-0.5,-0.62,0.18,-0.94,-0.28,0.06,0.64,-0.52,-0.81,-0.68,-0.99,-0.67
Benjamin Moukandjo,2014,Cameroon,-0.43,-0.05,2.48,0.79,-0.4,-0.23,1.91,1.55,-0.61,-0.5,-0.42,-0.52,-0.01,0.26,0.73,2.18
Benoît Assou-Ekotto,2014,Cameroon,-0.43,-0.31,2.48,-0.63,-0.04,1.1,0.62,-0.26,-0.9,0.44,0.79,0.13,-0.01,0.26,-0.56,1.48
Charles Itandje,2014,Cameroon,-0.43,-0.57,-0.54,-0.8,-0.36,1.41,-0.68,-0.26,-0.9,-0.82,-0.42,-0.52,-0.81,-1.15,-0.56,-0.79
Cédric Djeugoue,2014,Cameroon,-0.43,-0.57,-0.54,-0.8,-1.23,-0.93,-0.68,-0.94,-0.9,-0.82,-0.42,-0.52,-0.81,-1.15,-0.99,-0.79
Dany Nounkeu,2014,Cameroon,-0.43,-0.37,0.21,-0.1,-0.59,-0.23,-0.68,-0.71,-0.74,-0.1,-0.12,-0.52,-0.81,-0.21,-0.99,-0.09
Edgar Salli,2014,Cameroon,-0.43,-0.57,0.21,-0.45,-1.12,-1.01,1.05,0.19,-0.67,-0.82,-0.72,-0.52,-0.81,-0.21,-0.13,0.15
Eyong Enoh,2014,Cameroon,-0.43,-0.4,-0.54,-0.63,0.15,-0.54,0.18,-0.49,0.65,-0.82,-0.42,-0.52,-0.01,3.07,0.73,-0.48
Henri Bedimo,2014,Cameroon,-0.43,-0.57,-0.54,-0.45,-0.61,-0.62,0.62,0.19,-0.32,-0.82,-0.57,-0.52,-0.81,-0.68,-0.13,-0.75
Joël Matip,2014,Cameroon,1.76,1.16,-0.54,0.26,-0.52,-0.23,-0.25,0.19,-0.44,0.66,0.64,2.72,0.78,-0.21,-0.56,-0.16
Landry N'Guemo,2014,Cameroon,-0.43,-0.4,-0.54,-0.63,-0.54,-0.46,-0.68,-0.49,0.26,0.36,-0.72,-0.52,-0.81,-0.21,1.59,-0.79
Maxim Choupo-Moting,2014,Cameroon,-0.43,0.21,-0.54,1.85,-0.47,-0.3,0.62,1.1,-0.28,1.47,-0.42,0.29,1.18,-0.68,-0.99,-0.59
Nicolas N'Koulou,2014,Cameroon,-0.43,-0.37,-0.54,-0.27,0.45,-0.38,-0.68,-0.49,0.38,-0.52,1.39,2.55,-0.81,-0.68,-0.56,-0.79
Pierre Webó,2014,Cameroon,-0.43,0.12,-0.54,0.79,-1.14,-0.93,-0.68,-0.94,-0.9,-0.82,-0.72,-0.52,0.39,-0.68,-0.99,-0.55
Samuel Eto'o,2014,Cameroon,-0.43,-0.17,-0.54,0.08,-1.12,-0.93,-0.68,-0.94,-0.58,-0.82,-0.57,-0.52,-0.81,-1.15,-0.56,-0.09
Stéphane M'bia,2014,Cameroon,-0.43,-0.11,0.21,0.79,1.09,1.02,1.91,1.55,-0.06,1.76,-0.42,-0.52,-0.41,1.66,2.02,-0.44
Vincent Aboubakar,2014,Cameroon,-0.43,0.15,-0.54,0.61,-0.73,-1.09,0.18,-0.26,-0.9,-0.52,-0.72,-0.52,-0.81,-1.15,-0.56,-0.24
Alexis Sánchez,2014,Chile,2.6,0.91,2.08,1.28,0.26,0.19,5.88,0.94,0.06,0.48,-0.72,-0.52,-0.26,1.12,6.17,3.27
Arturo Vidal,2014,Chile,-0.43,-0.47,-0.54,0.42,0.1,-0.51,-0.08,-0.78,0.37,-0.5,-0.51,-0.52,1.4,1.45,1.69,0.05
Charles Aránguiz,2014,Chile,1.09,0.29,-0.54,1.4,0.54,-0.14,0.52,-0.31,0.59,0.47,-0.62,0.86,-0.81,-0.18,0.5,0.67
Claudio Bravo,2014,Chile,-0.43,-0.57,-0.54,-0.8,0.24,2.51,-0.68,-0.94,-0.9,-0.82,-0.62,-0.52,-0.81,-1.15,-0.1,-0.71
Eduardo Vargas,2014,Chile,1.09,1.54,-0.54,1.52,-0.51,-0.79,-0.08,-0.63,-0.9,-0.82,-0.31,-0.52,0.02,-1.15,-0.7,1.46
Eugenio Mena,2014,Chile,-0.43,-0.31,0.5,0.05,0.78,1.0,0.22,-0.47,1.55,1.3,0.43,1.74,-0.81,0.47,-0.1,0.08
Felipe Gutiérrez,2014,Chile,-0.43,0.05,-0.54,0.18,-0.29,-0.62,-0.68,-0.47,1.03,-0.18,-0.31,0.63,0.02,0.47,0.2,-0.38
Francisco Silva,2014,Chile,-0.43,-0.57,-0.54,-0.8,0.67,0.78,-0.38,-0.31,0.53,0.07,0.85,0.36,0.02,2.09,1.99,-0.76
Gary Medel,2014,Chile,-0.43,-0.41,-0.54,-0.31,2.52,1.27,-0.38,0.32,0.15,1.8,3.57,2.77,2.78,-0.18,1.09,-0.71
Gonzalo Jara,2014,Chile,-0.43,-0.49,-0.02,-0.68,1.85,2.51,-0.38,0.32,0.73,1.39,0.85,-0.52,0.57,1.12,-0.4,-0.14
Jean Beauséjour,2014,Chile,1.09,-0.51,-0.54,-0.19,-1.26,-1.16,-0.38,-0.78,-0.9,-0.82,-0.72,-0.52,-0.53,-0.82,-0.99,-0.79
Jorge Valdívia,2014,Chile,1.09,-0.41,-0.54,0.05,-0.8,-0.79,-0.38,-0.78,-0.81,0.2,-0.72,-0.52,-0.81,-0.82,-0.4,0.02
Marcelo Díaz,2014,Chile,-0.43,-0.27,0.5,-0.8,1.55,0.62,-0.68,-0.47,0.92,0.55,0.11,-0.52,-0.81,0.47,-0.1,-0.09
Mauricio Isla,2014,Chile,-0.43,0.33,-0.54,0.42,1.68,2.78,-0.08,-0.47,1.55,1.15,0.74,2.4,-0.53,0.15,1.09,0.29
Mauricio Pinilla,2014,Chile,-0.43,0.45,-0.54,-0.31,-1.19,-1.11,-0.68,-0.78,-0.9,-0.82,-0.51,-0.52,0.29,-0.5,-0.4,-0.6
Abel Aguilar,2014,Colombia,-0.43,-0.57,-0.54,-0.27,0.06,-0.55,-0.68,-0.4,0.07,-0.17,-0.09,0.18,0.39,0.54,-0.22,-0.3
Adrián Ramos,2014,Colombia,-0.43,-0.07,-0.09,1.21,-0.93,-0.98,0.1,-0.12,-0.68,-0.6,-0.54,-0.52,-0.33,0.26,-0.48,0.06
Alexander Mejía,2014,Colombia,-0.43,-0.57,-0.54,-0.8,-0.96,-1.07,-0.68,-0.81,-0.32,-0.36,0.0,0.43,-0.57,0.26,-0.99,-0.79
Carlos Carbonero,2014,Colombia,-0.43,0.45,-0.54,-0.59,-1.22,-1.02,-0.68,-0.94,-0.79,-0.82,-0.63,-0.52,-0.09,-0.59,-0.22,-0.79
Carlos Sánchez,2014,Colombia,-0.43,-0.56,-0.54,-0.8,-0.19,-0.51,-0.42,-0.94,0.42,-0.03,0.09,0.7,1.34,-0.02,-0.48,-0.79
Carlos Valdés,2014,Colombia,-0.43,-0.57,-0.54,-0.8,-1.22,-1.02,-0.68,-0.94,-0.9,-0.47,-0.09,-0.2,-0.81,-0.59,-0.99,-0.79
Cristián Zapata,2014,Colombia,-0.43,-0.42,-0.54,-0.17,-0.09,-0.09,-0.42,-0.81,0.15,0.34,1.0,1.6,0.15,-0.02,0.04,-0.79
David Ospina,2014,Colombia,-0.43,-0.57,-0.54,-0.8,-0.21,1.55,-0.68,-0.81,-0.9,-0.82,-0.45,-0.52,-0.81,-1.15,-0.74,-0.79
Fredy Guarín,2014,Colombia,-0.43,-0.4,-0.54,-0.59,-0.7,-0.55,0.36,-0.53,-0.24,-0.25,-0.36,0.11,-0.09,0.26,-0.22,-0.72
Jackson Martínez,2014,Colombia,2.2,0.1,-0.54,0.68,-0.92,-0.88,-0.68,-0.4,0.18,-0.82,-0.45,0.18,0.39,-0.02,0.04,-0.48
James Rodríguez,2014,Colombia,7.45,3.6,3.09,1.64,0.79,0.85,3.2,1.51,0.27,-0.56,-0.54,-0.05,-0.57,1.66,2.11,4.6
Juan Cuadrado,2014,Colombia,0.88,1.16,0.36,1.85,0.13,-0.04,1.39,2.46,0.17,-0.1,-0.09,-0.52,-0.33,1.38,3.66,2.73
Juan Quintero,2014,Colombia,0.88,0.4,-0.09,-0.38,-1.02,-0.79,-0.16,-0.4,-0.57,-0.42,-0.63,-0.52,-0.81,-0.87,-0.74,-0.25
Juan Zúñiga,2014,Colombia,-0.43,-0.5,-0.54,-0.49,0.48,1.27,0.36,0.96,0.64,0.02,0.37,-0.52,-0.81,-0.02,2.63,-0.23
Mario Yepes,2014,Colombia,-0.43,-0.49,-0.54,-0.38,-0.31,-0.65,-0.68,-0.67,1.37,1.11,1.36,1.39,-0.09,-0.59,-0.48,-0.79
Pablo Armero,2014,Colombia,0.88,-0.4,0.82,-0.38,0.53,1.23,-0.42,0.28,-0.29,0.29,0.37,-0.05,-0.09,1.1,0.04,0.38
Santiago Arias,2014,Colombia,-0.43,-0.49,-0.54,-0.59,-0.67,-0.18,-0.42,-0.4,-0.51,-0.53,-0.27,-0.2,-0.57,-0.87,-0.99,-0.6
Teófilo Gutiérrez,2014,Colombia,0.88,1.56,-0.54,1.85,-0.53,-0.88,-0.68,-0.26,-0.4,-0.56,-0.63,-0.05,0.39,0.82,-0.48,0.06
Víctor Ibarbo,2014,Colombia,-0.43,-0.57,-0.09,-0.27,-0.85,-1.02,-0.16,-0.53,-0.47,-0.6,-0.36,-0.05,-0.57,0.82,0.56,0.13
Éder Balanta,2014,Colombia,-0.43,-0.57,-0.54,-0.8,-1.21,-0.93,-0.68,-0.67,-0.79,-0.7,0.0,-0.2,-0.33,-0.59,-0.99,-0.79
Bryan Ruiz,2014,Costa Rica,1.89,0.43,0.26,0.23,0.58,0.24,0.24,-0.58,-0.66,-0.63,-0.08,-0.52,-0.18,2.07,0.83,0.16
Celso Borges,2014,Costa Rica,-0.43,0.48,-0.54,0.13,0.72,0.08,-0.68,-0.58,-0.62,-0.19,0.4,-0.52,0.67,-0.16,-0.54,-0.31
Christian Bolaños,2014,Costa Rica,-0.43,-0.13,1.46,0.69,-0.36,-0.38,-0.22,-0.22,-0.61,-0.58,-0.4,-0.26,-0.39,2.32,-0.08,1.82
Cristian Gamboa,2014,Costa Rica,-0.43,-0.54,-0.14,-0.71,-0.0,0.45,-0.22,-0.34,1.08,-0.27,0.32,-0.52,-0.39,1.08,0.83,-0.39
Dave Myrie,2014,Costa Rica,-0.43,-0.57,-0.54,-0.8,-1.34,-1.12,-0.68,-0.94,-0.86,-0.68,-0.64,-0.52,-0.81,-1.15,-0.77,-0.7
Giancarlo González,2014,Costa Rica,-0.43,-0.18,-0.54,0.13,-0.25,-0.38,-0.68,-0.82,-0.18,0.52,3.36,0.38,1.72,-0.16,0.15,-0.6
Joel Campbell,2014,Costa Rica,0.73,-0.3,-0.14,0.13,-0.38,-0.79,1.38,0.86,-0.61,-0.64,-0.64,-0.52,0.67,0.84,3.57,-0.25
Johnny Acosta,2014,Costa Rica,-0.43,-0.3,-0.54,-0.62,-0.93,-0.58,-0.68,-0.46,-0.57,-0.77,-0.0,-0.52,-0.81,-0.9,-0.54,-0.79
José Cubero,2014,Costa Rica,-0.43,-0.57,-0.54,-0.8,-1.16,-1.08,-0.22,-0.7,-0.82,-0.82,-0.4,-0.52,-0.6,-0.4,-0.77,-0.77
Júnior Díaz,2014,Costa Rica,-0.43,-0.57,0.26,-0.52,0.42,0.82,-0.68,-0.46,0.04,0.0,2.0,0.23,0.46,0.84,1.29,-0.31
Keylor Navas,2014,Costa Rica,-0.43,-0.57,-0.54,-0.8,-0.3,1.73,-0.68,-0.82,-0.9,-0.68,-0.48,-0.52,-0.39,-1.15,-0.31,-0.6
Marco Ureña,2014,Costa Rica,0.73,0.04,-0.54,0.13,-1.23,-1.08,-0.45,-0.22,-0.75,-0.82,-0.64,-0.39,-0.6,-0.65,-0.77,-0.11
Michael Umaña,2014,Costa Rica,-0.43,-0.57,-0.54,-0.8,-0.21,-0.38,-0.68,-0.58,-0.26,-0.26,2.08,-0.52,0.24,-0.16,-0.54,-0.77
Randall Brenes,2014,Costa Rica,-0.43,-0.41,-0.14,-0.05,-1.14,-0.87,-0.68,-0.94,-0.81,-0.72,-0.4,-0.52,-0.81,0.09,-0.77,-0.52
Roy Miller,2014,Costa Rica,-0.43,-0.57,-0.54,-0.8,-1.08,-0.92,-0.68,-0.7,-0.63,-0.12,-0.16,-0.52,-0.81,-0.65,-0.77,-0.79
Yeltsin Tejeda,2014,Costa Rica,-0.43,-0.51,-0.54,-0.62,0.29,-0.34,-0.45,-0.82,0.06,-0.35,-0.48,0.46,-0.6,0.34,-0.54,-0.7
Óscar Duarte,2014,Costa Rica,0.73,0.25,-0.54,-0.05,0.14,0.41,-0.68,-0.1,0.08,0.61,-0.08,0.13,-0.18,1.08,-0.54,-0.79
Ante Rebic,2014,Croatia,-0.43,0.23,-0.54,0.43,-1.09,-0.77,1.48,0.19,-0.23,-0.82,-0.42,-0.52,-0.81,0.26,-0.99,0.77
Danijel Pranjic,2014,Croatia,-0.43,-0.46,1.73,-0.27,0.19,0.71,-0.68,-0.49,0.16,-0.25,-0.12,-0.52,-0.81,-0.68,-0.56,-0.01
Darijo Srna,2014,Croatia,-0.43,0.09,1.73,-0.1,0.98,1.96,-0.68,-0.26,1.03,1.01,1.85,0.87,1.18,0.73,0.3,1.2
Dejan Lovren,2014,Croatia,-0.43,-0.49,-0.54,-0.27,0.49,1.1,-0.68,0.87,0.16,0.7,3.21,2.63,2.38,1.66,-0.13,-0.44
Ivan Perisic,2014,Croatia,3.95,3.21,1.73,3.8,-0.31,-0.54,0.18,0.87,0.59,-0.46,0.03,-0.52,0.39,0.26,1.16,1.28
Ivan Rakitic,2014,Croatia,-0.43,-0.52,3.24,-0.1,2.11,1.26,-0.25,1.33,-0.05,2.6,0.18,2.93,-0.41,0.26,-0.99,2.02
Ivica Olic,2014,Croatia,1.76,1.07,0.97,3.09,-0.61,-0.7,0.18,0.19,1.67,-0.07,-0.12,-0.52,0.78,1.19,-0.99,-0.05
Luka Modric,2014,Croatia,-0.43,-0.43,0.97,-0.45,1.78,0.87,2.77,0.42,-0.41,1.36,-0.57,1.06,-0.41,0.26,2.02,0.85
Marcelo Brozovic,2014,Croatia,-0.43,-0.37,-0.54,-0.63,-1.12,-0.93,-0.68,-0.94,-0.55,-0.64,-0.72,-0.52,-0.81,-0.68,-0.99,-0.75
Mario Mandzukic,2014,Croatia,3.95,2.49,-0.54,1.32,-0.82,-0.93,-0.68,-0.71,-0.34,-0.82,-0.72,-0.52,3.57,0.26,0.3,0.03
Mateo Kovacic,2014,Croatia,-0.43,-0.52,-0.54,-0.63,-0.13,-0.62,-0.25,-0.49,-0.55,-0.82,-0.72,-0.52,-0.81,-1.15,-0.56,0.11
Nikica Jelavic,2014,Croatia,-0.43,0.75,-0.54,0.43,-1.26,-1.16,-0.68,-0.94,-0.9,-0.82,-0.72,-0.52,1.58,0.73,-0.99,-0.79
Sammir,2014,Croatia,-0.43,-0.34,-0.54,-0.27,-0.96,-0.7,-0.68,-0.49,-0.9,-0.25,-0.72,-0.52,-0.81,-0.21,-0.56,-0.48
Sime Vrsaljko,2014,Croatia,-0.43,-0.57,-0.54,-0.8,0.03,0.87,-0.68,-0.71,-0.73,-0.29,1.7,0.93,0.39,1.19,-0.56,-0.79
Stipe Pletikosa,2014,Croatia,-0.43,-0.57,-0.54,-0.8,-0.17,1.96,-0.68,-0.94,-0.9,-0.82,-0.72,-0.52,-0.81,-1.15,-0.56,-0.51
Vedran Corluka,2014,Croatia,-0.43,-0.46,-0.54,-0.27,0.72,1.65,-0.25,0.42,0.23,1.85,2.45,2.44,0.39,0.26,-0.13,-0.59
Alexander Domínguez,2014,Ecuador,-0.43,-0.57,-0.54,-0.8,-0.33,1.57,-0.68,-0.94,-0.9,-0.82,-0.57,-0.52,-0.01,-1.15,-0.56,-0.79
Antonio Valencia,2014,Ecuador,-0.43,-0.4,0.21,-0.27,0.15,-0.46,-0.25,0.65,-0.9,-0.82,-0.27,-0.52,4.37,3.07,-0.13,-0.09
Carlos Gruezo,2014,Ecuador,-0.43,-0.52,-0.54,-0.8,-0.86,-1.09,-0.25,-0.94,-0.74,-0.82,-0.42,-0.05,-0.81,-0.21,-0.56,-0.48
Christian Noboa,2014,Ecuador,-0.43,0.12,-0.54,0.79,0.47,0.55,0.18,-0.49,2.21,-0.31,0.34,2.21,0.78,2.13,-0.56,0.62
Enner Valencia,2014,Ecuador,6.14,5.46,-0.54,1.5,-0.63,-1.01,1.48,1.1,0.22,-0.82,-0.42,-0.52,1.58,2.13,2.02,-0.48
Felipe Caicedo,2014,Ecuador,-0.43,-0.17,-0.54,0.08,-0.75,-1.09,-0.25,-0.49,-0.74,-0.82,-0.72,-0.52,0.39,-0.21,-0.56,-0.44
Frickson Erazo,2014,Ecuador,-0.43,-0.11,-0.54,0.26,0.06,-0.15,0.18,-0.03,-0.65,0.4,2.76,0.88,1.58,-1.15,-0.99,-0.32
Jefferson Montero,2014,Ecuador,-0.43,-0.28,-0.54,0.79,-0.1,-0.15,0.18,3.14,-0.12,-0.25,-0.57,-0.52,-0.81,0.26,0.73,-0.44
Jorge Guagua,2014,Ecuador,-0.43,-0.57,-0.54,-0.45,-0.27,-0.46,-0.68,-0.26,-0.12,-0.31,4.27,-0.52,1.98,0.73,0.3,-0.63
Juan Carlos Paredes,2014,Ecuador,-0.43,-0.54,1.73,-0.8,0.43,1.96,1.91,0.87,0.47,-0.16,-0.27,1.05,-0.81,0.26,1.16,0.46
Michael Arroyo,2014,Ecuador,-0.43,-0.14,0.21,0.08,-0.77,-1.01,-0.25,0.42,-0.74,-0.82,-0.72,-0.52,-0.41,-0.21,-0.56,-0.4
Oswaldo Minda,2014,Ecuador,-0.43,-0.57,-0.54,-0.8,-0.2,-1.01,-0.68,-0.94,0.13,-0.33,0.03,1.05,-0.41,-0.21,-0.99,-0.71
Renato Ibarra,2014,Ecuador,-0.43,-0.31,-0.54,-0.45,-1.32,-1.16,0.62,-0.49,-0.9,-0.82,-0.57,-0.52,-0.41,-0.21,-0.56,-0.36
Walter Ayoví,2014,Ecuador,-0.43,-0.28,2.48,-0.8,1.35,2.58,-0.68,-0.03,-0.4,-0.25,2.45,0.58,0.39,0.73,-0.56,1.48
Adam Lallana,2014,England,-0.43,-0.57,-0.54,0.79,-0.66,-1.01,-0.68,-0.71,-0.37,0.27,-0.72,-0.52,0.39,-0.21,-0.13,-0.36
Ben Foster,2014,England,-0.43,-0.57,-0.54,-0.8,-0.86,-0.3,-0.68,-0.94,-0.9,-0.82,-0.72,-0.52,-0.81,-1.15,-0.56,-0.79
Chris Smalling,2014,England,-0.43,-0.57,-0.54,-0.63,-0.54,-0.54,-0.25,-0.94,-0.37,0.82,0.18,-0.52,0.39,0.26,-0.56,-0.79
Daniel Sturridge,2014,England,1.76,3.18,-0.54,2.91,-0.27,-0.62,1.48,1.1,-0.9,-0.54,-0.72,-0.52,-0.41,-0.21,2.02,1.36
Danny Welbeck,2014,England,-0.43,-0.49,-0.54,0.43,-0.52,-0.62,-0.25,0.42,1.01,0.16,-0.42,-0.52,-0.81,-0.68,0.3,-0.51
Frank Lampard,2014,England,-0.43,-0.4,-0.54,-0.63,0.17,-0.38,0.18,-0.49,0.71,0.27,-0.57,-0.52,-0.41,-0.68,-0.13,-0.63
